CodLift;DataEvent;Flags;Num;Name
150;2020-02-06 12:40:47.000;18;164;Аварийная блокировка
150;2020-02-06 12:40:47.000;18;128;41 - Проникновение в шахту
150;2020-02-06 12:40:59.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-06 12:41:07.000;18;236;Резервное питание ЛБ
150;2020-02-06 12:41:19.000;18;178;Отсутствует обмен с MCS
150;2020-02-06 12:41:19.000;16;128;41 - Проникновение в шахту
150;2020-02-06 12:41:19.000;16;164;Аварийная блокировка
150;2020-02-06 12:41:20.000;16;236;Резервное питание ЛБ
150;2020-02-06 12:48:09.000;18;213;Нет связи
150;2020-02-06 12:48:09.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-06 12:48:09.000;16;165;Открыто МП
150;2020-02-06 12:48:09.000;16;178;Отсутствует обмен с MCS
150;2020-02-06 12:48:41.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-06 12:48:41.000;18;165;Открыто МП
150;2020-02-06 12:48:41.000;18;178;Отсутствует обмен с MCS
150;2020-02-06 12:48:41.000;16;213;Нет связи
150;2020-02-06 12:49:10.000;18;130;Многократный реверс дверей
150;2020-02-06 12:49:10.000;2;41;Кабина стоит
150;2020-02-06 12:59:09.000;18;213;Нет связи
150;2020-02-06 12:59:09.000;16;130;Многократный реверс дверей
150;2020-02-06 12:59:09.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-06 12:59:09.000;16;165;Открыто МП
150;2020-02-06 12:59:09.000;16;178;Отсутствует обмен с MCS
150;2020-02-06 14:08:47.000;18;130;Многократный реверс дверей
150;2020-02-06 14:08:47.000;18;131;Проникновение в МП
150;2020-02-06 14:08:47.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-06 14:08:47.000;18;148;Вызов диспетчера из кабины
150;2020-02-06 14:08:47.000;18;178;Отсутствует обмен с MCS
150;2020-02-06 14:08:47.000;16;213;Нет связи
150;2020-02-06 14:08:47.000;2;41;Кабина стоит
150;2020-02-06 14:09:01.000;16;148;Вызов диспетчера
150;2020-02-06 14:10:49.000;18;213;Нет связи
150;2020-02-06 14:10:49.000;16;130;Многократный реверс дверей
150;2020-02-06 14:10:49.000;16;131;Проникновение в МП
150;2020-02-06 14:10:49.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-06 14:10:49.000;16;178;Отсутствует обмен с MCS
150;2020-02-06 14:14:17.000;18;130;Многократный реверс дверей
150;2020-02-06 14:14:17.000;18;131;Проникновение в МП
150;2020-02-06 14:14:17.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-06 14:14:17.000;18;178;Отсутствует обмен с MCS
150;2020-02-06 14:14:17.000;16;213;Нет связи
150;2020-02-06 14:14:18.000;2;41;Кабина стоит
150;2020-02-06 14:26:50.000;16;130;Многократный реверс дверей
150;2020-02-06 14:26:50.000;16;131;Проникновение в МП
150;2020-02-06 14:26:50.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-06 14:26:50.000;16;178;Отсутствует обмен с MCS
150;2020-02-06 14:26:50.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-06 14:27:09.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-06 14:27:11.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-06 14:43:31.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-06 14:43:34.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-06 15:24:36.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-06 18:11:28.000;18;161;Авария привода дверей
150;2020-02-06 18:11:28.000;2;41;Кабина на 2 этаже
150;2020-02-06 18:11:29.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-06 18:47:27.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-06 18:47:27.000;16;161;Авария привода дверей
150;2020-02-06 18:47:29.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-06 18:47:54.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-06 18:47:55.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-06 19:29:27.000;16;132;Отсутствует напряжение в цепи управления
50;2020-02-06 19:54:04.000;18;130;Многократный реверс дверей
50;2020-02-06 19:54:04.000;18;164;Аварийная блокировка
50;2020-02-06 19:54:04.000;2;41;Кабина на 9 этаже
50;2020-02-06 19:54:13.000;18;128;48 - 8 реверсов
50;2020-02-06 20:16:58.000;16;128;48 - 8 реверсов
50;2020-02-06 20:16:58.000;16;164;Аварийная блокировка
50;2020-02-06 20:17:04.000;18;164;Аварийная блокировка
50;2020-02-06 20:17:10.000;18;128;48 - 8 реверсов
50;2020-02-06 20:24:22.000;18;132;Отсутствует напряжение в цепи управления
50;2020-02-06 20:24:22.000;18;178;Отсутствует обмен с MCS
50;2020-02-06 20:24:22.000;16;128;48 - 8 реверсов
50;2020-02-06 20:24:22.000;16;164;Аварийная блокировка
50;2020-02-06 20:24:51.000;16;130;Многократный реверс дверей
50;2020-02-06 20:25:01.000;16;132;Отсутствует напряжение в цепи управления
50;2020-02-06 20:25:01.000;16;178;Отсутствует обмен с MCS
50;2020-02-06 20:26:18.000;18;130;Многократный реверс дверей
50;2020-02-06 20:26:18.000;18;164;Аварийная блокировка
50;2020-02-06 20:26:18.000;18;128;48 - 8 реверсов
50;2020-02-06 20:27:38.000;18;162;Проникновение в шахту
50;2020-02-06 20:27:38.000;16;128;48 - 8 реверсов
